Algorithm, Parallel, Delta, Graph Size, Density, Threads, Time
DeltaStepping,0,1,1000,0.1,1,15145
DeltaStepping,0,2,1000,0.1,1,12098.5
DeltaStepping,0,3,1000,0.1,1,10690.7
DeltaStepping,0,4,1000,0.1,1,10579.3
DeltaStepping,0,5,1000,0.1,1,11054.4
DeltaStepping,0,6,1000,0.1,1,11338.8
DeltaStepping,0,7,1000,0.1,1,13401.3
DeltaStepping,0,8,1000,0.1,1,13731.9
DijkstraSequential,0,-1,1000,0.1,1,58.368
CustomParallelDeltaStepping,1,1,1000,0.1,2,7665.9
CustomParallelDeltaStepping,1,2,1000,0.1,2,6966.63
CustomParallelDeltaStepping,1,3,1000,0.1,2,7074.15
CustomParallelDeltaStepping,1,4,1000,0.1,2,7476.12
CustomParallelDeltaStepping,1,5,1000,0.1,2,7967.49
CustomParallelDeltaStepping,1,6,1000,0.1,2,8344.58
CustomParallelDeltaStepping,1,7,1000,0.1,2,8618.72
CustomParallelDeltaStepping,1,8,1000,0.1,2,9179.75
CustomParallelDeltaStepping,1,1,1000,0.1,3,7781.53
CustomParallelDeltaStepping,1,2,1000,0.1,3,7260.2
CustomParallelDeltaStepping,1,3,1000,0.1,3,7402.27
CustomParallelDeltaStepping,1,4,1000,0.1,3,7870.18
CustomParallelDeltaStepping,1,5,1000,0.1,3,8387.15
CustomParallelDeltaStepping,1,6,1000,0.1,3,8916.72
CustomParallelDeltaStepping,1,7,1000,0.1,3,9356.28
CustomParallelDeltaStepping,1,8,1000,0.1,3,9942.68
CustomParallelDeltaStepping,1,1,1000,0.1,4,8010.14
CustomParallelDeltaStepping,1,2,1000,0.1,4,7520.76
CustomParallelDeltaStepping,1,3,1000,0.1,4,7662.09
CustomParallelDeltaStepping,1,4,1000,0.1,4,8154.31
CustomParallelDeltaStepping,1,5,1000,0.1,4,8727.34
CustomParallelDeltaStepping,1,6,1000,0.1,4,9362.67
CustomParallelDeltaStepping,1,7,1000,0.1,4,9691.05
