algorithm,parallel,delta,graph_size,graph_density,n_threads,time,n_repeat
DeltaStepping,0,1,10000,0.3,1,1339.12,0
DeltaStepping,0,2,10000,0.3,1,1485.9,0
DeltaStepping,0,4,10000,0.3,1,1913.18,0
DeltaStepping,0,6,10000,0.3,1,2220.53,0
DeltaStepping,0,8,10000,0.3,1,2368.03,0
DijkstraSequential,0,-1,10000,0.3,1,484.296,0
ParallelDeltaStepping,1,1,10000,0.3,2,258.516,0
ParallelDeltaStepping,1,2,10000,0.3,2,307.143,0
ParallelDeltaStepping,1,4,10000,0.3,2,422.893,0
ParallelDeltaStepping,1,6,10000,0.3,2,490.131,0
ParallelDeltaStepping,1,8,10000,0.3,2,517.936,0
ParallelDeltaStepping,1,1,10000,0.3,4,155.738,0
ParallelDeltaStepping,1,2,10000,0.3,4,192.29,0
ParallelDeltaStepping,1,4,10000,0.3,4,251.939,0
ParallelDeltaStepping,1,6,10000,0.3,4,310.23,0
ParallelDeltaStepping,1,8,10000,0.3,4,308.621,0
ParallelDeltaStepping,1,1,10000,0.3,8,119.727,0
ParallelDeltaStepping,1,2,10000,0.3,8,129.409,0
ParallelDeltaStepping,1,4,10000,0.3,8,166.039,0
ParallelDeltaStepping,1,6,10000,0.3,8,216.515,0
ParallelDeltaStepping,1,8,10000,0.3,8,218.767,0
ParallelDeltaStepping,1,1,10000,0.3,12,95.643,0
ParallelDeltaStepping,1,2,10000,0.3,12,117.982,0
ParallelDeltaStepping,1,4,10000,0.3,12,142.025,0
ParallelDeltaStepping,1,6,10000,0.3,12,168.415,0
ParallelDeltaStepping,1,8,10000,0.3,12,182.703,0
ParallelDeltaStepping,1,1,10000,0.3,16,95.424,0
ParallelDeltaStepping,1,2,10000,0.3,16,112.034,0
ParallelDeltaStepping,1,4,10000,0.3,16,155.639,0
ParallelDeltaStepping,1,6,10000,0.3,16,165.817,0
ParallelDeltaStepping,1,8,10000,0.3,16,181.222,0
ParallelDeltaStepping,1,1,10000,0.3,20,94.955,0
ParallelDeltaStepping,1,2,10000,0.3,20,108.215,0
ParallelDeltaStepping,1,4,10000,0.3,20,146.6,0
ParallelDeltaStepping,1,6,10000,0.3,20,166.556,0
