algorithm,parallel,delta,graph_size,graph_density,n_threads,time,n_repeat
DeltaStepping,0,1,500,0.3,1,2.09,0
DeltaStepping,0,2,500,0.3,1,2.671,0
DeltaStepping,0,4,500,0.3,1,4.611,0
DeltaStepping,0,6,500,0.3,1,5.823,0
DeltaStepping,0,8,500,0.3,1,6.359,0
DijkstraSequential,0,-1,500,0.3,1,0.835,0
ParallelDeltaStepping,1,1,500,0.3,2,0.636,0
ParallelDeltaStepping,1,2,500,0.3,2,0.881,0
ParallelDeltaStepping,1,4,500,0.3,2,1.22,0
ParallelDeltaStepping,1,6,500,0.3,2,1.509,0
ParallelDeltaStepping,1,8,500,0.3,2,1.627,0
ParallelDeltaStepping,1,1,500,0.3,4,0.63,0
ParallelDeltaStepping,1,2,500,0.3,4,0.88,0
ParallelDeltaStepping,1,4,500,0.3,4,1.229,0
ParallelDeltaStepping,1,6,500,0.3,4,1.463,0
ParallelDeltaStepping,1,8,500,0.3,4,1.627,0
ParallelDeltaStepping,1,1,500,0.3,8,0.629,0
ParallelDeltaStepping,1,2,500,0.3,8,0.869,0
ParallelDeltaStepping,1,4,500,0.3,8,1.234,0
ParallelDeltaStepping,1,6,500,0.3,8,1.522,0
ParallelDeltaStepping,1,8,500,0.3,8,1.681,0
ParallelDeltaStepping,1,1,500,0.3,12,0.628,0
ParallelDeltaStepping,1,2,500,0.3,12,0.869,0
ParallelDeltaStepping,1,4,500,0.3,12,1.232,0
ParallelDeltaStepping,1,6,500,0.3,12,1.445,0
ParallelDeltaStepping,1,8,500,0.3,12,1.679,0
ParallelDeltaStepping,1,1,500,0.3,16,0.633,0
ParallelDeltaStepping,1,2,500,0.3,16,0.861,0
ParallelDeltaStepping,1,4,500,0.3,16,1.247,0
ParallelDeltaStepping,1,6,500,0.3,16,1.44,0
ParallelDeltaStepping,1,8,500,0.3,16,1.628,0
ParallelDeltaStepping,1,1,500,0.3,20,0.62,0
ParallelDeltaStepping,1,2,500,0.3,20,0.852,0
ParallelDeltaStepping,1,4,500,0.3,20,1.197,0
ParallelDeltaStepping,1,6,500,0.3,20,1.427,0
ParallelDeltaStepping,1,8,500,0.3,20,1.627,0
ParallelDeltaStepping,1,1,500,0.3,24,0.62,0
ParallelDeltaStepping,1,2,500,0.3,24,0.841,0
ParallelDeltaStepping,1,4,500,0.3,24,1.201,0
ParallelDeltaStepping,1,6,500,0.3,24,1.429,0
ParallelDeltaStepping,1,8,500,0.3,24,1.585,0
ParallelDeltaStepping,1,1,500,0.3,25,0.621,0
ParallelDeltaStepping,1,2,500,0.3,25,0.861,0
ParallelDeltaStepping,1,4,500,0.3,25,1.21,0
ParallelDeltaStepping,1,6,500,0.3,25,1.439,0
ParallelDeltaStepping,1,8,500,0.3,25,1.645,0
DeltaStepping,0,1,500,0.5,1,3.511,0
DeltaStepping,0,2,500,0.5,1,5.97,0
DeltaStepping,0,4,500,0.5,1,8.666,0
DeltaStepping,0,6,500,0.5,1,9.869,0
DeltaStepping,0,8,500,0.5,1,10.462,0
DijkstraSequential,0,-1,500,0.5,1,1.255,0
ParallelDeltaStepping,1,1,500,0.5,2,0.934,0
ParallelDeltaStepping,1,2,500,0.5,2,1.392,0
ParallelDeltaStepping,1,4,500,0.5,2,1.94,0
ParallelDeltaStepping,1,6,500,0.5,2,2.265,0
ParallelDeltaStepping,1,8,500,0.5,2,2.557,0
ParallelDeltaStepping,1,1,500,0.5,4,0.937,0
ParallelDeltaStepping,1,2,500,0.5,4,1.365,0
ParallelDeltaStepping,1,4,500,0.5,4,2.005,0
ParallelDeltaStepping,1,6,500,0.5,4,2.306,0
ParallelDeltaStepping,1,8,500,0.5,4,2.935,0
ParallelDeltaStepping,1,1,500,0.5,8,1.229,0
ParallelDeltaStepping,1,2,500,0.5,8,1.413,0
ParallelDeltaStepping,1,4,500,0.5,8,1.997,0
ParallelDeltaStepping,1,6,500,0.5,8,2.316,0
ParallelDeltaStepping,1,8,500,0.5,8,2.597,0
ParallelDeltaStepping,1,1,500,0.5,12,0.927,0
ParallelDeltaStepping,1,2,500,0.5,12,1.379,0
ParallelDeltaStepping,1,4,500,0.5,12,2.014,0
ParallelDeltaStepping,1,6,500,0.5,12,2.319,0
ParallelDeltaStepping,1,8,500,0.5,12,2.599,0
ParallelDeltaStepping,1,1,500,0.5,16,0.938,0
ParallelDeltaStepping,1,2,500,0.5,16,1.38,0
ParallelDeltaStepping,1,4,500,0.5,16,1.973,0
ParallelDeltaStepping,1,6,500,0.5,16,2.28,0
ParallelDeltaStepping,1,8,500,0.5,16,2.571,0
ParallelDeltaStepping,1,1,500,0.5,20,0.932,0
ParallelDeltaStepping,1,2,500,0.5,20,1.386,0
ParallelDeltaStepping,1,4,500,0.5,20,1.986,0
ParallelDeltaStepping,1,6,500,0.5,20,2.313,0
ParallelDeltaStepping,1,8,500,0.5,20,2.607,0
ParallelDeltaStepping,1,1,500,0.5,24,0.927,0
ParallelDeltaStepping,1,2,500,0.5,24,1.379,0
ParallelDeltaStepping,1,4,500,0.5,24,1.975,0
ParallelDeltaStepping,1,6,500,0.5,24,2.271,0
ParallelDeltaStepping,1,8,500,0.5,24,2.553,0
ParallelDeltaStepping,1,1,500,0.5,25,0.926,0
ParallelDeltaStepping,1,2,500,0.5,25,1.401,0
ParallelDeltaStepping,1,4,500,0.5,25,1.947,0
ParallelDeltaStepping,1,6,500,0.5,25,2.271,0
ParallelDeltaStepping,1,8,500,0.5,25,3.158,0
DeltaStepping,0,1,500,0.7,1,6.279,0
DeltaStepping,0,2,500,0.7,1,9.139,0
DeltaStepping,0,4,500,0.7,1,11.869,0
DeltaStepping,0,6,500,0.7,1,13.272,0
DeltaStepping,0,8,500,0.7,1,13.934,0
DijkstraSequential,0,-1,500,0.7,1,1.657,0
ParallelDeltaStepping,1,1,500,0.7,2,1.267,0
ParallelDeltaStepping,1,2,500,0.7,2,1.851,0
ParallelDeltaStepping,1,4,500,0.7,2,2.593,0
ParallelDeltaStepping,1,6,500,0.7,2,3.098,0
ParallelDeltaStepping,1,8,500,0.7,2,3.348,0
ParallelDeltaStepping,1,1,500,0.7,4,1.243,0
ParallelDeltaStepping,1,2,500,0.7,4,1.841,0
ParallelDeltaStepping,1,4,500,0.7,4,2.574,0
ParallelDeltaStepping,1,6,500,0.7,4,3.125,0
ParallelDeltaStepping,1,8,500,0.7,4,3.313,0
ParallelDeltaStepping,1,1,500,0.7,8,1.228,0
ParallelDeltaStepping,1,2,500,0.7,8,1.81,0
ParallelDeltaStepping,1,4,500,0.7,8,2.569,0
ParallelDeltaStepping,1,6,500,0.7,8,3.108,0
ParallelDeltaStepping,1,8,500,0.7,8,3.295,0
ParallelDeltaStepping,1,1,500,0.7,12,1.231,0
ParallelDeltaStepping,1,2,500,0.7,12,1.845,0
ParallelDeltaStepping,1,4,500,0.7,12,2.573,0
ParallelDeltaStepping,1,6,500,0.7,12,3.084,0
ParallelDeltaStepping,1,8,500,0.7,12,3.306,0
ParallelDeltaStepping,1,1,500,0.7,16,1.221,0
ParallelDeltaStepping,1,2,500,0.7,16,1.82,0
ParallelDeltaStepping,1,4,500,0.7,16,2.556,0
ParallelDeltaStepping,1,6,500,0.7,16,3.105,0
ParallelDeltaStepping,1,8,500,0.7,16,3.304,0
ParallelDeltaStepping,1,1,500,0.7,20,1.221,0
ParallelDeltaStepping,1,2,500,0.7,20,1.803,0
ParallelDeltaStepping,1,4,500,0.7,20,2.579,0
ParallelDeltaStepping,1,6,500,0.7,20,3.135,0
ParallelDeltaStepping,1,8,500,0.7,20,3.277,0
ParallelDeltaStepping,1,1,500,0.7,24,1.245,0
ParallelDeltaStepping,1,2,500,0.7,24,1.83,0
ParallelDeltaStepping,1,4,500,0.7,24,2.52,0
ParallelDeltaStepping,1,6,500,0.7,24,3.109,0
ParallelDeltaStepping,1,8,500,0.7,24,3.288,0
ParallelDeltaStepping,1,1,500,0.7,25,1.211,0
ParallelDeltaStepping,1,2,500,0.7,25,1.804,0
ParallelDeltaStepping,1,4,500,0.7,25,2.509,0
ParallelDeltaStepping,1,6,500,0.7,25,3.089,0
ParallelDeltaStepping,1,8,500,0.7,25,3.289,0
DeltaStepping,0,1,1000,0.3,1,10.823,0
DeltaStepping,0,2,1000,0.3,1,15.353,0
DeltaStepping,0,4,1000,0.3,1,20.309,0
DeltaStepping,0,6,1000,0.3,1,26.043,0
DeltaStepping,0,8,1000,0.3,1,30.375,0
DijkstraSequential,0,-1,1000,0.3,1,5.02,0
ParallelDeltaStepping,1,1,1000,0.3,2,3.669,0
ParallelDeltaStepping,1,2,1000,0.3,2,4.96,0
ParallelDeltaStepping,1,4,1000,0.3,2,6.787,0
ParallelDeltaStepping,1,6,1000,0.3,2,7.92,0
ParallelDeltaStepping,1,8,1000,0.3,2,8.159,0
ParallelDeltaStepping,1,1,1000,0.3,4,2.429,0
ParallelDeltaStepping,1,2,1000,0.3,4,3.423,0
ParallelDeltaStepping,1,4,1000,0.3,4,4.901,0
ParallelDeltaStepping,1,6,1000,0.3,4,6.762,0
ParallelDeltaStepping,1,8,1000,0.3,4,6.393,0
ParallelDeltaStepping,1,1,1000,0.3,8,2.459,0
ParallelDeltaStepping,1,2,1000,0.3,8,3.507,0
ParallelDeltaStepping,1,4,1000,0.3,8,4.356,0
ParallelDeltaStepping,1,6,1000,0.3,8,4.203,0
ParallelDeltaStepping,1,8,1000,0.3,8,4.942,0
ParallelDeltaStepping,1,1,1000,0.3,12,2.346,0
ParallelDeltaStepping,1,2,1000,0.3,12,3.399,0
ParallelDeltaStepping,1,4,1000,0.3,12,4.114,0
ParallelDeltaStepping,1,6,1000,0.3,12,4.61,0
ParallelDeltaStepping,1,8,1000,0.3,12,4.843,0
ParallelDeltaStepping,1,1,1000,0.3,16,2.233,0
ParallelDeltaStepping,1,2,1000,0.3,16,3.313,0
ParallelDeltaStepping,1,4,1000,0.3,16,4.076,0
ParallelDeltaStepping,1,6,1000,0.3,16,4.264,0
ParallelDeltaStepping,1,8,1000,0.3,16,4.989,0
ParallelDeltaStepping,1,1,1000,0.3,20,2.263,0
ParallelDeltaStepping,1,2,1000,0.3,20,3.299,0
ParallelDeltaStepping,1,4,1000,0.3,20,4.284,0
ParallelDeltaStepping,1,6,1000,0.3,20,4.166,0
ParallelDeltaStepping,1,8,1000,0.3,20,4.647,0
ParallelDeltaStepping,1,1,1000,0.3,24,2.385,0
ParallelDeltaStepping,1,2,1000,0.3,24,3.291,0
ParallelDeltaStepping,1,4,1000,0.3,24,4.186,0
ParallelDeltaStepping,1,6,1000,0.3,24,4.358,0
ParallelDeltaStepping,1,8,1000,0.3,24,4.696,0
ParallelDeltaStepping,1,1,1000,0.3,25,2.336,0
ParallelDeltaStepping,1,2,1000,0.3,25,3.339,0
ParallelDeltaStepping,1,4,1000,0.3,25,4.251,0
ParallelDeltaStepping,1,6,1000,0.3,25,4.278,0
ParallelDeltaStepping,1,8,1000,0.3,25,4.876,0
DeltaStepping,0,1,1000,0.5,1,21.676,0
DeltaStepping,0,2,1000,0.5,1,27.61,0
DeltaStepping,0,4,1000,0.5,1,34.415,0
DeltaStepping,0,6,1000,0.5,1,33.19,0
DeltaStepping,0,8,1000,0.5,1,34.073,0
DijkstraSequential,0,-1,1000,0.5,1,6.38,0
ParallelDeltaStepping,1,1,1000,0.5,2,4.5,0
ParallelDeltaStepping,1,2,1000,0.5,2,6.701,0
ParallelDeltaStepping,1,4,1000,0.5,2,8.911,0
ParallelDeltaStepping,1,6,1000,0.5,2,9.407,0
ParallelDeltaStepping,1,8,1000,0.5,2,9.406,0
ParallelDeltaStepping,1,1,1000,0.5,4,4.025,0
ParallelDeltaStepping,1,2,1000,0.5,4,4.91,0
ParallelDeltaStepping,1,4,1000,0.5,4,6.822,0
ParallelDeltaStepping,1,6,1000,0.5,4,7.503,0
ParallelDeltaStepping,1,8,1000,0.5,4,7.291,0
ParallelDeltaStepping,1,1,1000,0.5,8,3.824,0
ParallelDeltaStepping,1,2,1000,0.5,8,3.946,0
ParallelDeltaStepping,1,4,1000,0.5,8,4.54,0
ParallelDeltaStepping,1,6,1000,0.5,8,5.977,0
ParallelDeltaStepping,1,8,1000,0.5,8,5.157,0
ParallelDeltaStepping,1,1,1000,0.5,12,3.621,0
ParallelDeltaStepping,1,2,1000,0.5,12,3.573,0
ParallelDeltaStepping,1,4,1000,0.5,12,4.859,0
ParallelDeltaStepping,1,6,1000,0.5,12,5.897,0
ParallelDeltaStepping,1,8,1000,0.5,12,4.126,0
ParallelDeltaStepping,1,1,1000,0.5,16,3.73,0
ParallelDeltaStepping,1,2,1000,0.5,16,3.761,0
ParallelDeltaStepping,1,4,1000,0.5,16,4.543,0
ParallelDeltaStepping,1,6,1000,0.5,16,6.109,0
ParallelDeltaStepping,1,8,1000,0.5,16,4.946,0
ParallelDeltaStepping,1,1,1000,0.5,20,3.717,0
ParallelDeltaStepping,1,2,1000,0.5,20,4.427,0
ParallelDeltaStepping,1,4,1000,0.5,20,5.717,0
ParallelDeltaStepping,1,6,1000,0.5,20,5.424,0
ParallelDeltaStepping,1,8,1000,0.5,20,4.382,0
ParallelDeltaStepping,1,1,1000,0.5,24,3.813,0
ParallelDeltaStepping,1,2,1000,0.5,24,4.065,0
ParallelDeltaStepping,1,4,1000,0.5,24,4.674,0
ParallelDeltaStepping,1,6,1000,0.5,24,5.662,0
ParallelDeltaStepping,1,8,1000,0.5,24,5.1,0
ParallelDeltaStepping,1,1,1000,0.5,25,3.76,0
ParallelDeltaStepping,1,2,1000,0.5,25,4.149,0
ParallelDeltaStepping,1,4,1000,0.5,25,4.794,0
ParallelDeltaStepping,1,6,1000,0.5,25,6.136,0
ParallelDeltaStepping,1,8,1000,0.5,25,5.184,0
DeltaStepping,0,1,1000,0.7,1,28.698,0
DeltaStepping,0,2,1000,0.7,1,36.332,0
DeltaStepping,0,4,1000,0.7,1,40.029,0
DeltaStepping,0,6,1000,0.7,1,42.342,0
DeltaStepping,0,8,1000,0.7,1,41.16,0
DijkstraSequential,0,-1,1000,0.7,1,9.581,0
ParallelDeltaStepping,1,1,1000,0.7,2,7.273,0
ParallelDeltaStepping,1,2,1000,0.7,2,9.53,0
ParallelDeltaStepping,1,4,1000,0.7,2,11.715,0
ParallelDeltaStepping,1,6,1000,0.7,2,11.066,0
