algorithm,parallel,delta,graph_size,graph_density,n_threads,time,n_repeat
DeltaStepping,0,1,500,0.3,1,2.178,0
DeltaStepping,0,2,500,0.3,1,2.762,0
DeltaStepping,0,4,500,0.3,1,5.026,0
DeltaStepping,0,6,500,0.3,1,6.06,0
DeltaStepping,0,8,500,0.3,1,6.354,0
DijkstraSequential,0,-1,500,0.3,1,0.828,0
ParallelDeltaStepping,1,1,500,0.3,2,0.623,0
ParallelDeltaStepping,1,2,500,0.3,2,0.891,0
ParallelDeltaStepping,1,4,500,0.3,2,1.271,0
ParallelDeltaStepping,1,6,500,0.3,2,1.559,0
ParallelDeltaStepping,1,8,500,0.3,2,1.755,0
ParallelDeltaStepping,1,1,500,0.3,4,0.624,0
ParallelDeltaStepping,1,2,500,0.3,4,0.885,0
ParallelDeltaStepping,1,4,500,0.3,4,1.291,0
ParallelDeltaStepping,1,6,500,0.3,4,1.55,0
ParallelDeltaStepping,1,8,500,0.3,4,1.684,0
ParallelDeltaStepping,1,1,500,0.3,8,0.611,0
ParallelDeltaStepping,1,2,500,0.3,8,0.88,0
ParallelDeltaStepping,1,4,500,0.3,8,1.311,0
ParallelDeltaStepping,1,6,500,0.3,8,1.559,0
ParallelDeltaStepping,1,8,500,0.3,8,1.708,0
ParallelDeltaStepping,1,1,500,0.3,12,0.613,0
ParallelDeltaStepping,1,2,500,0.3,12,0.896,0
ParallelDeltaStepping,1,4,500,0.3,12,1.301,0
ParallelDeltaStepping,1,6,500,0.3,12,1.55,0
ParallelDeltaStepping,1,8,500,0.3,12,1.715,0
ParallelDeltaStepping,1,1,500,0.3,16,0.632,0
ParallelDeltaStepping,1,2,500,0.3,16,0.897,0
ParallelDeltaStepping,1,4,500,0.3,16,1.315,0
ParallelDeltaStepping,1,6,500,0.3,16,1.57,0
ParallelDeltaStepping,1,8,500,0.3,16,1.733,0
ParallelDeltaStepping,1,1,500,0.3,20,0.632,0
ParallelDeltaStepping,1,2,500,0.3,20,0.904,0
ParallelDeltaStepping,1,4,500,0.3,20,1.317,0
ParallelDeltaStepping,1,6,500,0.3,20,1.565,0
ParallelDeltaStepping,1,8,500,0.3,20,1.746,0
ParallelDeltaStepping,1,1,500,0.3,24,0.633,0
ParallelDeltaStepping,1,2,500,0.3,24,0.908,0
ParallelDeltaStepping,1,4,500,0.3,24,1.329,0
ParallelDeltaStepping,1,6,500,0.3,24,1.598,0
ParallelDeltaStepping,1,8,500,0.3,24,1.737,0
ParallelDeltaStepping,1,1,500,0.3,25,0.63,0
ParallelDeltaStepping,1,2,500,0.3,25,0.909,0
ParallelDeltaStepping,1,4,500,0.3,25,1.299,0
ParallelDeltaStepping,1,6,500,0.3,25,1.574,0
ParallelDeltaStepping,1,8,500,0.3,25,1.737,0
DeltaStepping,0,1,500,0.5,1,3.606,0
DeltaStepping,0,2,500,0.5,1,5.543,0
DeltaStepping,0,4,500,0.5,1,7.949,0
DeltaStepping,0,6,500,0.5,1,8.272,0
DeltaStepping,0,8,500,0.5,1,9.221,0
DijkstraSequential,0,-1,500,0.5,1,1.241,0
ParallelDeltaStepping,1,1,500,0.5,2,0.96,0
ParallelDeltaStepping,1,2,500,0.5,2,1.31,0
ParallelDeltaStepping,1,4,500,0.5,2,1.79,0
ParallelDeltaStepping,1,6,500,0.5,2,2.218,0
ParallelDeltaStepping,1,8,500,0.5,2,2.363,0
ParallelDeltaStepping,1,1,500,0.5,4,0.956,0
ParallelDeltaStepping,1,2,500,0.5,4,1.314,0
ParallelDeltaStepping,1,4,500,0.5,4,1.821,0
ParallelDeltaStepping,1,6,500,0.5,4,2.135,0
ParallelDeltaStepping,1,8,500,0.5,4,2.337,0
ParallelDeltaStepping,1,1,500,0.5,8,0.955,0
ParallelDeltaStepping,1,2,500,0.5,8,1.319,0
