algorithm,parallel,delta,graph_size,graph_density,n_threads,time,n_repeat
FloydSequential,0,-1,100,0.3,1,39.488,0
FloydParallel,1,-1,100,0.3,1,31.689,0
ParallelDeltaSteppingAllTerminal,1,1,100,0.3,4,1026.47,0
ParallelDeltaSteppingAllTerminal,1,2,100,0.3,4,597.087,0
ParallelDeltaSteppingAllTerminal,1,4,100,0.3,4,410.613,0
FloydParallel,1,-1,100,0.3,1,37.353,0
ParallelDeltaSteppingAllTerminal,1,1,100,0.3,8,685.703,0
ParallelDeltaSteppingAllTerminal,1,2,100,0.3,8,584.575,0
ParallelDeltaSteppingAllTerminal,1,4,100,0.3,8,396.942,0
FloydParallel,1,-1,100,0.3,1,41.639,0
ParallelDeltaSteppingAllTerminal,1,1,100,0.3,12,573.17,0
ParallelDeltaSteppingAllTerminal,1,2,100,0.3,12,379.153,0
ParallelDeltaSteppingAllTerminal,1,4,100,0.3,12,296.93,0
FloydParallel,1,-1,100,0.3,1,61.243,0
ParallelDeltaSteppingAllTerminal,1,1,100,0.3,24,389.557,0
ParallelDeltaSteppingAllTerminal,1,2,100,0.3,24,220.557,0
ParallelDeltaSteppingAllTerminal,1,4,100,0.3,24,155.529,0
FloydSequential,0,-1,100,0.5,1,26.353,0
FloydParallel,1,-1,100,0.5,1,27.043,0
ParallelDeltaSteppingAllTerminal,1,1,100,0.5,4,758.907,0
ParallelDeltaSteppingAllTerminal,1,2,100,0.5,4,546.272,0
ParallelDeltaSteppingAllTerminal,1,4,100,0.5,4,405.385,0
FloydParallel,1,-1,100,0.5,1,33.291,0
ParallelDeltaSteppingAllTerminal,1,1,100,0.5,8,826.058,0
ParallelDeltaSteppingAllTerminal,1,2,100,0.5,8,517.972,0
ParallelDeltaSteppingAllTerminal,1,4,100,0.5,8,407.091,0
FloydParallel,1,-1,100,0.5,1,43.59,0
ParallelDeltaSteppingAllTerminal,1,1,100,0.5,12,768.184,0
ParallelDeltaSteppingAllTerminal,1,2,100,0.5,12,532.182,0
ParallelDeltaSteppingAllTerminal,1,4,100,0.5,12,385.813,0
FloydParallel,1,-1,100,0.5,1,130.103,0
ParallelDeltaSteppingAllTerminal,1,1,100,0.5,24,796.433,0
ParallelDeltaSteppingAllTerminal,1,2,100,0.5,24,619.987,0
ParallelDeltaSteppingAllTerminal,1,4,100,0.5,24,470.941,0
FloydSequential,0,-1,100,0.7,1,31.393,0
FloydParallel,1,-1,100,0.7,1,30.865,0
ParallelDeltaSteppingAllTerminal,1,1,100,0.7,4,1300.98,0
ParallelDeltaSteppingAllTerminal,1,2,100,0.7,4,979.633,0
ParallelDeltaSteppingAllTerminal,1,4,100,0.7,4,819.287,0
FloydParallel,1,-1,100,0.7,1,36.676,0
