algorithm,parallel,delta,graph_size,graph_density,n_threads,time,n_repeat
FloydSequential,0,-1,10;10,0.3;0.6,1,0.434,0
FloydParallel,1,-1,10;10,0.3;0.6,1,2.621,0
DijkstraParallel,1,-1,10;10,0.3;0.6,1,1.455,0
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.3;0.6,6,39.112,0
FloydParallel,1,-1,10;10,0.3;0.6,1,5.511,0
DijkstraParallel,1,-1,10;10,0.3;0.6,1,1.267,0
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.3;0.6,12,45.566,0
FloydParallel,1,-1,10;10,0.3;0.6,1,6.738,0
DijkstraParallel,1,-1,10;10,0.3;0.6,1,2.322,0
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.3;0.6,16,44.463,0
FloydSequential,0,-1,10;10,0.15;0.6,1,0.326,0
FloydParallel,1,-1,10;10,0.15;0.6,1,3.593,0
DijkstraParallel,1,-1,10;10,0.15;0.6,1,1.013,0
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.15;0.6,6,24.895,0
FloydParallel,1,-1,10;10,0.15;0.6,1,5.937,0
DijkstraParallel,1,-1,10;10,0.15;0.6,1,1.443,0
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.15;0.6,12,25.11,0
FloydParallel,1,-1,10;10,0.15;0.6,1,6.706,0
DijkstraParallel,1,-1,10;10,0.15;0.6,1,1.439,0
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.15;0.6,16,25.834,0
FloydSequential,0,-1,10;10,0.05;0.6,1,0.245,0
FloydParallel,1,-1,10;10,0.05;0.6,1,1.671,0
DijkstraParallel,1,-1,10;10,0.05;0.6,1,0.947,0
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.05;0.6,6,7.322,0
FloydParallel,1,-1,10;10,0.05;0.6,1,4.934,0
DijkstraParallel,1,-1,10;10,0.05;0.6,1,1.023,0
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.05;0.6,12,6.751,0
FloydParallel,1,-1,10;10,0.05;0.6,1,5.842,0
DijkstraParallel,1,-1,10;10,0.05;0.6,1,2.034,0
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.05;0.6,16,6.838,0
FloydSequential,0,-1,10;20,0.3;0.6,1,2.311,0
FloydParallel,1,-1,10;20,0.3;0.6,1,6.967,0
DijkstraParallel,1,-1,10;20,0.3;0.6,1,5.823,0
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.3;0.6,6,195.476,0
FloydParallel,1,-1,10;20,0.3;0.6,1,8.168,0
DijkstraParallel,1,-1,10;20,0.3;0.6,1,5.166,0
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.3;0.6,12,196.646,0
FloydParallel,1,-1,10;20,0.3;0.6,1,11.166,0
DijkstraParallel,1,-1,10;20,0.3;0.6,1,4.875,0
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.3;0.6,16,196.979,0
FloydSequential,0,-1,10;20,0.15;0.6,1,1.065,0
FloydParallel,1,-1,10;20,0.15;0.6,1,7.973,0
DijkstraParallel,1,-1,10;20,0.15;0.6,1,2.763,0
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.15;0.6,6,41.8,0
FloydParallel,1,-1,10;20,0.15;0.6,1,8.137,0
DijkstraParallel,1,-1,10;20,0.15;0.6,1,1.857,0
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.15;0.6,12,44.308,0
FloydParallel,1,-1,10;20,0.15;0.6,1,11.961,0
DijkstraParallel,1,-1,10;20,0.15;0.6,1,1.899,0
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.15;0.6,16,41.588,0
FloydSequential,0,-1,10;20,0.05;0.6,1,0.807,0
FloydParallel,1,-1,10;20,0.05;0.6,1,6.845,0
DijkstraParallel,1,-1,10;20,0.05;0.6,1,1.689,0
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.05;0.6,6,38.669,0
FloydParallel,1,-1,10;20,0.05;0.6,1,9.094,0
DijkstraParallel,1,-1,10;20,0.05;0.6,1,1.737,0
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.05;0.6,12,42.939,0
FloydParallel,1,-1,10;20,0.05;0.6,1,11.279,0
DijkstraParallel,1,-1,10;20,0.05;0.6,1,1.594,0
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.05;0.6,16,33.226,0
FloydSequential,0,-1,20;25,0.3;0.6,1,28.384,0
FloydParallel,1,-1,20;25,0.3;0.6,1,48.15,0
DijkstraParallel,1,-1,20;25,0.3;0.6,1,39.532,0
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.3;0.6,6,607.995,0
FloydParallel,1,-1,20;25,0.3;0.6,1,43.213,0
DijkstraParallel,1,-1,20;25,0.3;0.6,1,24.606,0
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.3;0.6,12,604.371,0
FloydParallel,1,-1,20;25,0.3;0.6,1,46.463,0
DijkstraParallel,1,-1,20;25,0.3;0.6,1,30.545,0
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.3;0.6,16,601.548,0
FloydSequential,0,-1,20;25,0.15;0.6,1,17.708,0
FloydParallel,1,-1,20;25,0.15;0.6,1,35.034,0
DijkstraParallel,1,-1,20;25,0.15;0.6,1,22.86,0
